ID,frame,coordX,coordY,trackedFor,violationsNumber,avgViolationTime,maxViolationTime
0,25,599,264,1,1,1.0,1
1,25,582,239,1,2,1.0,1
2,25,566,199,1,1,1.0,1
3,25,421,243,1,0,0,0
4,25,577,209,1,2,1.0,1
5,25,477,395,1,0,0,0
6,25,397,338,1,0,0,0
7,25,513,346,1,0,0,0
8,25,536,401,1,0,0,0
0,50,601,268,2,1,2.0,2
1,50,582,239,2,2,2.0,2
2,50,570,195,2,1,2.0,2
3,50,421,243,2,0,0,0
4,50,580,203,2,2,2.0,2
5,50,487,395,2,0,0,0
6,50,397,338,2,0,0,0
7,50,513,346,2,0,0,0
8,50,541,395,2,0,0,0
0,75,601,269,3,1,3.0,3
1,75,582,237,3,2,3.0,3
2,75,572,190,3,1,3.0,3
3,75,421,243,3,0,0,0
4,75,581,198,3,2,3.0,3
5,75,497,395,3,0,0,0
6,75,397,338,3,0,0,0
7,75,513,346,3,0,0,0
8,75,547,390,3,0,0,0
0,100,602,271,4,1,3.0,3
1,100,582,237,4,2,3.0,3
2,100,574,186,4,1,4.0,4
3,100,421,243,4,0,0,0
4,100,584,194,4,2,3.5,4
5,100,507,394,4,0,0,0
6,100,397,338,4,0,0,0
7,100,513,346,4,0,0,0
8,100,553,386,4,0,0,0
0,125,601,275,5,1,3.0,3
1,125,582,239,5,2,3.0,3
2,125,575,181,5,1,5.0,5
3,125,421,243,5,0,0,0
4,125,586,189,5,2,4.0,5
5,125,517,392,5,0,0,0
6,125,397,338,5,0,0,0
7,125,513,346,5,0,0,0
8,125,559,383,5,0,0,0
0,150,602,280,6,1,3.0,3
1,150,582,237,6,2,3.0,3
2,150,576,177,6,1,6.0,6
3,150,421,243,6,0,0,0
4,150,588,185,6,2,4.5,6
5,150,527,392,6,0,0,0
6,150,397,338,6,0,0,0
7,150,513,346,6,0,0,0
8,150,566,380,6,1,1.0,1
9,150,568,370,1,1,1.0,1
10,150,524,184,1,0,0,0
0,175,602,281,7,1,3.0,3
1,175,582,237,7,2,3.0,3
2,175,578,174,7,1,7.0,7
3,175,421,243,7,0,0,0
4,175,590,180,7,2,5.0,7
5,175,537,393,7,0,0,0
6,175,397,338,7,0,0,0
7,175,512,345,7,0,0,0
8,175,572,375,7,1,2.0,2
9,175,572,368,2,1,2.0,2
10,175,521,192,2,0,0,0
0,200,603,281,8,1,3.0,3
1,200,582,239,8,2,3.0,3
2,200,579,172,8,1,8.0,8
3,200,421,243,8,0,0,0
4,200,590,176,8,2,5.5,8
5,200,546,392,8,1,1.0,1
6,200,397,338,8,0,0,0
7,200,512,345,8,0,0,0
8,200,578,373,8,2,2.0,3
9,200,577,367,3,1,3.0,3
10,200,517,199,3,0,0,0
0,225,602,285,9,1,3.0,3
1,225,581,240,9,2,3.0,3
2,225,579,173,9,1,9.0,9
3,225,421,243,9,0,0,0
4,225,594,172,9,2,6.0,9
5,225,556,391,9,2,1.5,2
6,225,397,338,9,0,0,0
7,225,510,346,9,0,0,0
8,225,586,371,9,2,3.0,4
9,225,581,367,4,2,2.5,4
10,225,513,204,4,0,0,0
0,250,602,285,10,1,3.0,3
1,250,581,240,10,2,3.0,3
2,250,580,171,10,1,10.0,10
3,250,421,243,10,0,0,0
4,250,597,170,10,2,6.5,10
5,250,565,390,10,2,2.5,3
6,250,397,338,10,0,0,0
7,250,510,346,10,0,0,0
8,250,592,369,10,2,4.0,5
9,250,587,367,5,2,3.5,5
10,250,510,212,5,0,0,0
0,275,601,286,11,1,3.0,3
1,275,581,240,11,2,3.0,3
2,275,583,168,11,2,6.0,11
3,275,421,243,11,0,0,0
4,275,603,168,11,3,5.0,11
5,275,573,388,11,2,3.5,4
6,275,397,338,11,0,0,0
7,275,510,346,11,1,1.0,1
8,275,598,368,11,2,5.0,6
9,275,594,365,6,2,4.5,6
10,275,506,218,6,0,0,0
11,275,413,87,1,0,0,0
